Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
EOS        | 0.8458 | 0.8460 | 0.8434 | 0.8458
FGC        | 0.8458 | 0.8460 | 0.8434 | 0.8458
HAC        | 0.8458 | 0.8460 | 0.8434 | 0.8458
KSC        | 0.8458 | 0.8460 | 0.8434 | 0.8458
LYI        | 0.8458 | 0.8460 | 0.8434 | 0.8458
LYT        | 0.8458 | 0.8460 | 0.8434 | 0.8458
MMZ        | 0.8458 | 0.8460 | 0.8434 | 0.8458
MON        | 0.8458 | 0.8460 | 0.8434 | 0.8458
MYB        | 0.8458 | 0.8460 | 0.8434 | 0.8458
NGB        | 0.8458 | 0.8460 | 0.8434 | 0.8458
NGS        | 0.8458 | 0.8460 | 0.8434 | 0.8458
NIF        | 0.8458 | 0.8460 | 0.8434 | 0.8458
OTH        | 0.8458 | 0.8460 | 0.8434 | 0.8458
PEB        | 0.8458 | 0.8460 | 0.8434 | 0.8458
PLM        | 0.8458 | 0.8460 | 0.8434 | 0.8458
PMO        | 0.8458 | 0.8460 | 0.8434 | 0.8458

Epoch 13
ABE        | 0.8444 | 0.8478 | 0.8444 | 0.8444
ART        | 0.8444 | 0.8478 | 0.8444 | 0.8444
BAS        | 0.8444 | 0.8478 | 0.8444 | 0.8444
BLA        | 0.8444 | 0.8478 | 0.8444 | 0.8444
EBO        | 0.8444 | 0.8478 | 0.8444 | 0.8444
EOS        | 0.8444 | 0.8478 | 0.8444 | 0.8444
FGC        | 0.8444 | 0.8478 | 0.8444 | 0.8444
HAC        | 0.8444 | 0.8478 | 0.8444 | 0.8444
KSC        | 0.8444 | 0.8478 | 0.8444 | 0.8444
LYI        | 0.8444 | 0.8478 | 0.8444 | 0.8444
LYT        | 0.8444 | 0.8478 | 0.8444 | 0.8444
MMZ        | 0.8444 | 0.8478 | 0.8444 | 0.8444
MON        | 0.8444 | 0.8478 | 0.8444 | 0.8444
MYB        | 0.8444 | 0.8478 | 0.8444 | 0.8444
NGB        | 0.8444 | 0.8478 | 0.8444 | 0.8444
NGS        | 0.8444 | 0.8478 | 0.8444 | 0.8444
NIF        | 0.8444 | 0.8478 | 0.8444 | 0.8444
OTH        | 0.8444 | 0.8478 | 0.8444 | 0.8444
PEB        | 0.8444 | 0.8478 | 0.8444 | 0.8444
PLM        | 0.8444 | 0.8478 | 0.8444 | 0.8444
PMO        | 0.8444 | 0.8478 | 0.8444 | 0.8444

Epoch 14
ABE        | 0.8479 | 0.8456 | 0.8452 | 0.8479
ART        | 0.8479 | 0.8456 | 0.8452 | 0.8479
BAS        | 0.8479 | 0.8456 | 0.8452 | 0.8479
BLA        | 0.8479 | 0.8456 | 0.8452 | 0.8479
EBO        | 0.8479 | 0.8456 | 0.8452 | 0.8479
EOS        | 0.8479 | 0.8456 | 0.8452 | 0.8479
FGC        | 0.8479 | 0.8456 | 0.8452 | 0.8479
HAC        | 0.8479 | 0.8456 | 0.8452 | 0.8479
KSC        | 0.8479 | 0.8456 | 0.8452 | 0.8479
LYI        | 0.8479 | 0.8456 | 0.8452 | 0.8479
LYT        | 0.8479 | 0.8456 | 0.8452 | 0.8479
MMZ        | 0.8479 | 0.8456 | 0.8452 | 0.8479
MON        | 0.8479 | 0.8456 | 0.8452 | 0.8479
MYB        | 0.8479 | 0.8456 | 0.8452 | 0.8479
NGB        | 0.8479 | 0.8456 | 0.8452 | 0.8479
NGS        | 0.8479 | 0.8456 | 0.8452 | 0.8479
NIF        | 0.8479 | 0.8456 | 0.8452 | 0.8479
OTH        | 0.8479 | 0.8456 | 0.8452 | 0.8479
PEB        | 0.8479 | 0.8456 | 0.8452 | 0.8479
PLM        | 0.8479 | 0.8456 | 0.8452 | 0.8479
PMO        | 0.8479 | 0.8456 | 0.8452 | 0.8479

Epoch 15
ABE        | 0.8461 | 0.8441 | 0.8431 | 0.8461
ART        | 0.8461 | 0.8441 | 0.8431 | 0.8461
BAS        | 0.8461 | 0.8441 | 0.8431 | 0.8461
BLA        | 0.8461 | 0.8441 | 0.8431 | 0.8461
EBO        | 0.8461 | 0.8441 | 0.8431 | 0.8461
EOS        | 0.8461 | 0.8441 | 0.8431 | 0.8461
FGC        | 0.8461 | 0.8441 | 0.8431 | 0.8461
HAC        | 0.8461 | 0.8441 | 0.8431 | 0.8461
KSC        | 0.8461 | 0.8441 | 0.8431 | 0.8461
LYI        | 0.8461 | 0.8441 | 0.8431 | 0.8461
LYT        | 0.8461 | 0.8441 | 0.8431 | 0.8461
MMZ        | 0.8461 | 0.8441 | 0.8431 | 0.8461
MON        | 0.8461 | 0.8441 | 0.8431 | 0.8461
MYB        | 0.8461 | 0.8441 | 0.8431 | 0.8461
NGB        | 0.8461 | 0.8441 | 0.8431 | 0.8461
NGS        | 0.8461 | 0.8441 | 0.8431 | 0.8461
NIF        | 0.8461 | 0.8441 | 0.8431 | 0.8461
OTH        | 0.8461 | 0.8441 | 0.8431 | 0.8461
PEB        | 0.8461 | 0.8441 | 0.8431 | 0.8461
PLM        | 0.8461 | 0.8441 | 0.8431 | 0.8461
PMO        | 0.8461 | 0.8441 | 0.8431 | 0.8461

Epoch 16
ABE        | 0.8477 | 0.8503 | 0.8470 | 0.8477
ART        | 0.8477 | 0.8503 | 0.8470 | 0.8477
BAS        | 0.8477 | 0.8503 | 0.8470 | 0.8477
BLA        | 0.8477 | 0.8503 | 0.8470 | 0.8477
EBO        | 0.8477 | 0.8503 | 0.8470 | 0.8477
EOS        | 0.8477 | 0.8503 | 0.8470 | 0.8477
FGC        | 0.8477 | 0.8503 | 0.8470 | 0.8477
HAC        | 0.8477 | 0.8503 | 0.8470 | 0.8477
KSC        | 0.8477 | 0.8503 | 0.8470 | 0.8477
LYI        | 0.8477 | 0.8503 | 0.8470 | 0.8477
LYT        | 0.8477 | 0.8503 | 0.8470 | 0.8477
MMZ        | 0.8477 | 0.8503 | 0.8470 | 0.8477
MON        | 0.8477 | 0.8503 | 0.8470 | 0.8477
MYB        | 0.8477 | 0.8503 | 0.8470 | 0.8477
NGB        | 0.8477 | 0.8503 | 0.8470 | 0.8477
NGS        | 0.8477 | 0.8503 | 0.8470 | 0.8477
NIF        | 0.8477 | 0.8503 | 0.8470 | 0.8477
OTH        | 0.8477 | 0.8503 | 0.8470 | 0.8477
PEB        | 0.8477 | 0.8503 | 0.8470 | 0.8477
PLM        | 0.8477 | 0.8503 | 0.8470 | 0.8477
PMO        | 0.8477 | 0.8503 | 0.8470 | 0.8477

Epoch 17
ABE        | 0.8440 | 0.8433 | 0.8429 | 0.8440
ART        | 0.8440 | 0.8433 | 0.8429 | 0.8440
BAS        | 0.8440 | 0.8433 | 0.8429 | 0.8440
BLA        | 0.8440 | 0.8433 | 0.8429 | 0.8440
EBO        | 0.8440 | 0.8433 | 0.8429 | 0.8440
EOS        | 0.8440 | 0.8433 | 0.8429 | 0.8440
FGC        | 0.8440 | 0.8433 | 0.8429 | 0.8440
HAC        | 0.8440 | 0.8433 | 0.8429 | 0.8440
KSC        | 0.8440 | 0.8433 | 0.8429 | 0.8440
LYI        | 0.8440 | 0.8433 | 0.8429 | 0.8440
LYT        | 0.8440 | 0.8433 | 0.8429 | 0.8440
MMZ        | 0.8440 | 0.8433 | 0.8429 | 0.8440
MON        | 0.8440 | 0.8433 | 0.8429 | 0.8440
MYB        | 0.8440 | 0.8433 | 0.8429 | 0.8440
NGB        | 0.8440 | 0.8433 | 0.8429 | 0.8440
NGS        | 0.8440 | 0.8433 | 0.8429 | 0.8440
NIF        | 0.8440 | 0.8433 | 0.8429 | 0.8440
OTH        | 0.8440 | 0.8433 | 0.8429 | 0.8440
PEB        | 0.8440 | 0.8433 | 0.8429 | 0.8440
PLM        | 0.8440 | 0.8433 | 0.8429 | 0.8440
PMO        | 0.8440 | 0.8433 | 0.8429 | 0.8440

Epoch 18
ABE        | 0.8486 | 0.8471 | 0.8469 | 0.8486
ART        | 0.8486 | 0.8471 | 0.8469 | 0.8486
BAS        | 0.8486 | 0.8471 | 0.8469 | 0.8486
BLA        | 0.8486 | 0.8471 | 0.8469 | 0.8486
EBO        | 0.8486 | 0.8471 | 0.8469 | 0.8486
EOS        | 0.8486 | 0.8471 | 0.8469 | 0.8486
FGC        | 0.8486 | 0.8471 | 0.8469 | 0.8486
HAC        | 0.8486 | 0.8471 | 0.8469 | 0.8486
KSC        | 0.8486 | 0.8471 | 0.8469 | 0.8486
LYI        | 0.8486 | 0.8471 | 0.8469 | 0.8486
LYT        | 0.8486 | 0.8471 | 0.8469 | 0.8486
MMZ        | 0.8486 | 0.8471 | 0.8469 | 0.8486
MON        | 0.8486 | 0.8471 | 0.8469 | 0.8486
MYB        | 0.8486 | 0.8471 | 0.8469 | 0.8486
NGB        | 0.8486 | 0.8471 | 0.8469 | 0.8486
NGS        | 0.8486 | 0.8471 | 0.8469 | 0.8486
NIF        | 0.8486 | 0.8471 | 0.8469 | 0.8486
OTH        | 0.8486 | 0.8471 | 0.8469 | 0.8486
PEB        | 0.8486 | 0.8471 | 0.8469 | 0.8486
